Sequence,URN,RV,Label
219,urn:cite:hmt:u4.110r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 110r"
93,urn:cite:hmt:u4.47r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 47r"
59,urn:cite:hmt:u4.30r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 30r"
385,urn:cite:hmt:u4.193r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 193r"
288,urn:cite:hmt:u4.144v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 144v"
185,urn:cite:hmt:u4.93r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 93r"
149,urn:cite:hmt:u4.75r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 75r"
281,urn:cite:hmt:u4.141r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 141r"
206,urn:cite:hmt:u4.103v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 103v"
333,urn:cite:hmt:u4.167r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 167r"
179,urn:cite:hmt:u4.90r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 90r"
64,urn:cite:hmt:u4.32v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 32v"
120,urn:cite:hmt:u4.60v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 60v"
244,urn:cite:hmt:u4.122v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 122v"
173,urn:cite:hmt:u4.87r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 87r"
345,urn:cite:hmt:u4.173r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 173r"
175,urn:cite:hmt:u4.88r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 88r"
181,urn:cite:hmt:u4.91r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 91r"
293,urn:cite:hmt:u4.147r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 147r"
182,urn:cite:hmt:u4.91v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 91v"
150,urn:cite:hmt:u4.75v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 75v"
386,urn:cite:hmt:u4.193v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 193v"
256,urn:cite:hmt:u4.128v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 128v"
358,urn:cite:hmt:u4.179v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 179v"
237,urn:cite:hmt:u4.119r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 119r"
262,urn:cite:hmt:u4.131v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 131v"
348,urn:cite:hmt:u4.174v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 174v"
95,urn:cite:hmt:u4.48r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 48r"
224,urn:cite:hmt:u4.112v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 112v"
284,urn:cite:hmt:u4.142v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 142v"
30,urn:cite:hmt:u4.15v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 15v"
26,urn:cite:hmt:u4.13v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 13v"
341,urn:cite:hmt:u4.171r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 171r"
311,urn:cite:hmt:u4.156r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 156r"
198,urn:cite:hmt:u4.99v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 99v"
375,urn:cite:hmt:u4.188r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 188r"
128,urn:cite:hmt:u4.64v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 64v"
5,urn:cite:hmt:u4.3r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 3r"
119,urn:cite:hmt:u4.60r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 60r"
374,urn:cite:hmt:u4.187v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 187v"
164,urn:cite:hmt:u4.82v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 82v"
178,urn:cite:hmt:u4.89v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 89v"
134,urn:cite:hmt:u4.67v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 67v"
269,urn:cite:hmt:u4.135r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 135r"
187,urn:cite:hmt:u4.94r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 94r"
129,urn:cite:hmt:u4.65r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 65r"
251,urn:cite:hmt:u4.126r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 126r"
60,urn:cite:hmt:u4.30v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 30v"
247,urn:cite:hmt:u4.124r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 124r"
381,urn:cite:hmt:u4.191r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 191r"
225,urn:cite:hmt:u4.113r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 113r"
228,urn:cite:hmt:u4.114v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 114v"
180,urn:cite:hmt:u4.90v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 90v"
123,urn:cite:hmt:u4.62r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 62r"
350,urn:cite:hmt:u4.175v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 175v"
67,urn:cite:hmt:u4.34r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 34r"
11,urn:cite:hmt:u4.6r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 6r"
163,urn:cite:hmt:u4.82r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 82r"
65,urn:cite:hmt:u4.33r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 33r"
157,urn:cite:hmt:u4.79r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 79r"
161,urn:cite:hmt:u4.81r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 81r"
384,urn:cite:hmt:u4.192v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 192v"
328,urn:cite:hmt:u4.164v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 164v"
379,urn:cite:hmt:u4.190r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 190r"
142,urn:cite:hmt:u4.71v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 71v"
261,urn:cite:hmt:u4.131r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 131r"
31,urn:cite:hmt:u4.16r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 16r"
75,urn:cite:hmt:u4.38r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 38r"
245,urn:cite:hmt:u4.123r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 123r"
96,urn:cite:hmt:u4.48v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 48v"
137,urn:cite:hmt:u4.69r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 69r"
49,urn:cite:hmt:u4.25r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 25r"
89,urn:cite:hmt:u4.45r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 45r"
35,urn:cite:hmt:u4.18r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 18r"
78,urn:cite:hmt:u4.39v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 39v"
94,urn:cite:hmt:u4.47v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 47v"
176,urn:cite:hmt:u4.88v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 88v"
186,urn:cite:hmt:u4.93v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 93v"
136,urn:cite:hmt:u4.68v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 68v"
91,urn:cite:hmt:u4.46r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 46r"
314,urn:cite:hmt:u4.157v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 157v"
299,urn:cite:hmt:u4.150r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 150r"
313,urn:cite:hmt:u4.157r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 157r"
48,urn:cite:hmt:u4.24v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 24v"
359,urn:cite:hmt:u4.180r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 180r"
242,urn:cite:hmt:u4.121v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 121v"
15,urn:cite:hmt:u4.8r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 8r"
260,urn:cite:hmt:u4.130v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 130v"
365,urn:cite:hmt:u4.183r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 183r"
349,urn:cite:hmt:u4.175r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 175r"
184,urn:cite:hmt:u4.92v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 92v"
282,urn:cite:hmt:u4.141v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 141v"
1,urn:cite:hmt:u4.1r,recto,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 1r"
208,urn:cite:hmt:u4.104v,verso,"U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 104v"
