Folio	Quire	SmoothHairy	urn:cite:hmt:msA.BifolioWith	ReplacementPage
urn:cite:hmt:msA.92v	11	hairy	urn:cite:hmt:msA.99r	no
urn:cite:hmt:msA.93r	11	hairy	urn:cite:hmt:msA.98v	no
urn:cite:hmt:msA.93v	11	smooth	urn:cite:hmt:msA.98r	no
urn:cite:hmt:msA.94r	11	smooth	urn:cite:hmt:msA.97v	no
urn:cite:hmt:msA.94v	11	hairy	urn:cite:hmt:msA.97r	no
urn:cite:hmt:msA.95r	11	hairy	urn:cite:hmt:msA.96v	no
urn:cite:hmt:msA.95v	11	smooth	urn:cite:hmt:msA.96r	no
urn:cite:hmt:msA.96r	11	smooth	urn:cite:hmt:msA.95v	no
urn:cite:hmt:msA.96v	11	hairy	urn:cite:hmt:msA.95r	no
urn:cite:hmt:msA.97r	11	hairy	urn:cite:hmt:msA.94v	no
urn:cite:hmt:msA.97v	11	smooth	urn:cite:hmt:msA.94r	no
urn:cite:hmt:msA.98r	11	smooth	urn:cite:hmt:msA.93v	no
urn:cite:hmt:msA.98v	11	hairy	urn:cite:hmt:msA.93r	no
urn:cite:hmt:msA.99r	11	hairy	urn:cite:hmt:msA.92v	no
urn:cite:hmt:msA.99v	11	smooth	urn:cite:hmt:msA.92r	no
urn:cite:hmt:msA.100r	12	smooth	urn:cite:hmt:msA.107v	no
urn:cite:hmt:msA.100v	12	hairy	urn:cite:hmt:msA.107r	no
urn:cite:hmt:msA.101r	12	hairy	urn:cite:hmt:msA.106v	no
urn:cite:hmt:msA.101v	12	smooth	urn:cite:hmt:msA.106r	no
urn:cite:hmt:msA.102r	12	smooth	urn:cite:hmt:msA.105v	no
urn:cite:hmt:msA.102v	12	hairy	urn:cite:hmt:msA.105r	no
urn:cite:hmt:msA.103r	12	hairy	urn:cite:hmt:msA.104v	no
urn:cite:hmt:msA.103v	12	smooth	urn:cite:hmt:msA.104r	no
urn:cite:hmt:msA.104r	12	smooth	urn:cite:hmt:msA.103v	no
urn:cite:hmt:msA.104v	12	hairy	urn:cite:hmt:msA.103r	no
urn:cite:hmt:msA.105r	12	hairy	urn:cite:hmt:msA.102v	no
urn:cite:hmt:msA.105v	12	smooth	urn:cite:hmt:msA.102r	no
urn:cite:hmt:msA.106r	12	smooth	urn:cite:hmt:msA.101v	no
urn:cite:hmt:msA.106v	12	hairy	urn:cite:hmt:msA.101r	no
urn:cite:hmt:msA.107r	12	hairy	urn:cite:hmt:msA.100v	no
urn:cite:hmt:msA.107v	12	smooth	urn:cite:hmt:msA.100r	no
urn:cite:hmt:msA.108r	13	smooth	urn:cite:hmt:msA.115v	no
urn:cite:hmt:msA.108v	13	hairy	urn:cite:hmt:msA.115r	no
urn:cite:hmt:msA.109r	13	hairy	urn:cite:hmt:msA.114v	no
urn:cite:hmt:msA.109v	13	smooth	urn:cite:hmt:msA.114r	no
urn:cite:hmt:msA.110r	13	smooth	urn:cite:hmt:msA.113v	no
urn:cite:hmt:msA.110v	13	hairy	urn:cite:hmt:msA.113r	no
urn:cite:hmt:msA.111r	13	hairy	urn:cite:hmt:msA.112v	no
urn:cite:hmt:msA.111v	13	smooth	urn:cite:hmt:msA.112r	no
urn:cite:hmt:msA.112r	13	smooth	urn:cite:hmt:msA.111v	no
urn:cite:hmt:msA.112v	13	hairy	urn:cite:hmt:msA.111r	no
urn:cite:hmt:msA.113r	13	hairy	urn:cite:hmt:msA.110v	no
urn:cite:hmt:msA.113v	13	smooth	urn:cite:hmt:msA.110r	no
